ObjInstance,Identifier,MethodName,ElapsedMilliseconds,Version
VersionComponent,1d68af04-5559-4ce7-abe7-ff4bb2a0e226,OnInit_OnParam,165,Version0
VersionComponent,1d68af04-5559-4ce7-abe7-ff4bb2a0e226,OnParam_OnAfterRender,315,Version0
VersionComponent,1d68af04-5559-4ce7-abe7-ff4bb2a0e226,PopulateChartOrderState,11,Version0
VersionComponent,1d68af04-5559-4ce7-abe7-ff4bb2a0e226,SetParam,5,Version0
VersionComponent,1d68af04-5559-4ce7-abe7-ff4bb2a0e226,SetParam_OnInit,11,Version0
VersionComponent,1d68af04-5559-4ce7-abe7-ff4bb2a0e226,VisualizeOrderStatusSuccess,9,Version0
BenchmarkComponent,1eccf73f-f89b-46d7-903d-407224d9e971,FINISH,335,Version0
BenchmarkComponent,1eccf73f-f89b-46d7-903d-407224d9e971,OnInit_OnParam,178,Version0
BenchmarkComponent,1eccf73f-f89b-46d7-903d-407224d9e971,OnParam_OnAfterRender,335,Version0
BenchmarkComponent,1eccf73f-f89b-46d7-903d-407224d9e971,SetParam,174,Version0
BenchmarkComponent,1eccf73f-f89b-46d7-903d-407224d9e971,SetParam_OnInit,178,Version0
VersionComponent,1eccf73f-f89b-46d7-903d-407224d9e971,FINISH,330,Version0
VersionComponent,1eccf73f-f89b-46d7-903d-407224d9e971,GenerateOrders,140,Version0
VersionComponent,1eccf73f-f89b-46d7-903d-407224d9e971,OnInit_OnParam,167,Version0
VersionComponent,1eccf73f-f89b-46d7-903d-407224d9e971,OnParam_OnAfterRender,320,Version0
VersionComponent,1eccf73f-f89b-46d7-903d-407224d9e971,PopulateChartOrderState,12,Version0
VersionComponent,1eccf73f-f89b-46d7-903d-407224d9e971,SetParam,5,Version0
VersionComponent,1eccf73f-f89b-46d7-903d-407224d9e971,SetParam_OnInit,11,Version0
VersionComponent,1eccf73f-f89b-46d7-903d-407224d9e971,VisualizeOrderStatusSuccess,9,Version0
BenchmarkComponent,1fbe7abc-086a-4142-b038-b4c4bb762799,FINISH,321,Version0
BenchmarkComponent,1fbe7abc-086a-4142-b038-b4c4bb762799,OnInit_OnParam,177,Version0
BenchmarkComponent,1fbe7abc-086a-4142-b038-b4c4bb762799,OnParam_OnAfterRender,321,Version0
BenchmarkComponent,1fbe7abc-086a-4142-b038-b4c4bb762799,SetParam,173,Version0
